,0
0,Alabama
1,Arizona
2,Arkansas
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,New York
25,North Carolina
26,North Dakota
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Utah
35,Vermont
36,Virginia
37,West Virginia
38,Wisconsin
39,Wyoming
